,tweet,label
38,"@user I have to say, I thought the idea of zerocovid was madness even 6 months ago. Now, with vaccines being rolled out, I think it would be madness not to follow this approach until we have enough people vaccinated worldwide to control the transmission of the virus.",2
39,Markets gone ‘rogue’ on coronavirus vaccine news face tough questions https://t.co/5U5eoZQolU,0
40,Just got all immunized up. Come at me deadly diseases of Africa! #myarmhurts,2
41,VACCI-NATION #art #artwork #vaccination #health #activism #recycledpropaganda @ Recycled Propaganda http://t.co/festXptWWy,2
42,"As we see mutations of the #COVID virus all people worldwide much have equitable access to the vaccine. If we are to truly gain control over this pandemic, no one can be left behind. #VaccineAccess https://t.co/uCOSgPnpHT",2
43,"Fuck that, I'll let nature take its course and kill me rather than having a man made vaccination give me diseases later on in life.",1
44,@mauraoconnell20 @laurennphan don't get measles,0
45,We had sailed 7 years when the measles broke out and the ship lost its way in the fog. #damnantivaxxers,2
46,ICSD addresses measles; for more information go to http://t.co/3gZtdz4yDP,0
47,"$HLT
Argus upgrades Hilton Worldwide (NYSE:HLT) to a Buy rating after having it set at Neutral.Analyst John Staszak: """"We believe that the development of an effective coronavirus vaccine, which now seems more likely in the near ... https://t.co/NzH1LsDG4C",0
48,Corona vaccine and it's effectiveness. https://t.co/saNtX9kZ9p,0
49,“@trutherbot: http://t.co/rJIxTXJs0A” why give food and water when we can vaccinate them,2
50,First Case of Measles in 2015 Reported in MA http://t.co/BYMsgH5W7Y,0
51,zoe just told me to skip school with her to get vaccinated for whooping cough,2
52,No one cares when x amount of people die from vaccinations or that our food supply is shit on a bun but since there's a video of a kid getti,1
53,Got my MMR shot yesterday and slept like 15 hrs #shotsmakemesleepy,2
54,"OK. Blue screen of death again. What is up, laptop? Is it measles?",0
55,@NigelKellow @hypnotik23 Why no vax ? ) Covid 19 is not a HCID. 2) The survival rate is 99.8% 3) The last coronavirus pandemic the virus evolved to be less harmful not more &amp; then vanished 5)T cell immunity lasts between 5-10 years so why bother? 6) I am not going to have an RNA vaccine changing my DNA,1
56,I can't even with politicians suggesting parents should have a choice in vaccinating their children,2
57,@MelissaHeartYum @Rachcatwoman The Measles story is pretty wild hope it doesn't spread for people.Wet Concerts sucks lol.,0
58,"@TheBlazeHotList When parents were refusing to vaccinate their kids against polio, where were you then? What facts did they have?",0
59,"Damn. For the first time in my memory conservatives were almost right about something. The virus WILL end soon after the election.

... Until they refuse to take it because it’s a vaccine. https://t.co/3EtVaASBX5",2
60,@HollywoodComet I adore Gene Tierney when she when to the Hollywood Canteen a female fan asked for her autograph the woman had measles Genes,0
61,“@Bills_Chick: Mayo Clinic trial: Massive blast of measles vaccine wipes out cancer http://t.co/uMH36DeYpB” they'll charge $2mill for it,2
62,“@FoxNews: Trips to Disney theme parks in California linked to measles cases http://t.co/XPnosxqHhP” @kelsipalmer,0
63,@lorabruncke @trutherbot vaccines have been around for hundreds of years,2
64,Measles outbreak centered at Disneyland may be declared over Friday: The measles outbreak that started in… http://t.co/opicOu7NuS,0
65,"Wow North America, wow via @guardian: Measles vaccination rates in parts of Africa surpass those in North America http://t.co/iWwjVHogrh",2
66,@mcourtney13 im just sayin you can cure polio and survive measles but theres no getting rid of autism,1
67,Five Denton County measles cases connected to Tarrant outbreak: The five cases in Denton County plus the 11 cases... http://t.co/6HKyIk3EQh,0
68,SB5 [Update] Schools; providing immunity from liability for education employees for use of reasonable force. Effe... http://t.co/HvOuNyHTff,0
69,"@DrDave01 @815wrldtrvlr I had measles,mumps,chicken pox. Kids aren't immune to disease.They never get a chance to get sick! It's about $$$",0
70,Excellent news for India where majority of the 4 million who have already been vaccinated have received the Oxford-AstraZeneca vaccine. #CovishieldVaccine,2
71,So sick it's pneumonia! H1N1! That measles! RT@10BillRTP: Just came up w/ a sick Idea,0
72,"“@MotherJones: Dear parents of unvaccinated child who exposed my cancer-stricken daughter to the measles, thanks! http://t.co/LQsDpkJU62""",2
73,"Measles used to put cancer into remission
http://t.co/mBrc3OtHNP",0
74,You cannot pray measles away. Please vaccinate your children. #publichealth,2
75,Something seems off about a Rise Against block on MMR but I'll take it,0
76,"3 new measles cases confirmed in Cook County, officials say: Three additional cases of measles have been confirmed… http://t.co/yhyXdgYHlG",0
77,"5 ways to boost immunity naturally: With the number of flu cases spreading across the country, a health and fitness... http://t.co/RoLg4cOY",0
78,Hundreds Endure Heat For Children’s Last Minute Vaccinations: DALLAS (http://t.co/dmUIGziQEu) – Hundreds of... http://t.co/7poJxj7pLd,2
79,“@lovelucyford: @GraceyyyBabyyy lmao I'm not gonna pay to get the measles b” it would be shutdown if it was that bad,0
80,Coronavirus vaccine news soo promising xx 😍😍🙌👍90% effective fingers crossed it gets approved and then hopefully back to normal by Spring summer 2021!,2
81,Eating a slice at Arinells in Berkeley. 2 young women talk about how they want kids but won't vaccinate bc of conspiracy bullshit. #fb,2
82,California Senate set to consider school vaccine bill: State senators are taking up a controversial bill aimed at… http://t.co/mLSYktqKiy,0
83,2nd coronavirus vaccine shows early success in U.S. tests https://t.co/8U6klFicQT,2
84,California vaccine exemption bill faces crucial first test on Wednesday: Democratic-led efforts to ban vaccine… http://t.co/3g4tyAWF97,1
85,"Taking @otberbur for her vaccinations. Poor, scared pup. (@ Collins Memorial Animal Hospital) http://t.co/AJLv7i3a",2
86,"I know some Rs will claim that Ds will undoubtedly take the vaccine when it's available and the election is over (for some reason)...

...but I am still VERY skeptical of a rushed vaccine.

I'll take it when a larger panel of scientists (beyond just Pfizer) say it is safe. https://t.co/0MN2iFKdg4",1
87,Third MMR Dose Well-Tolerated During Mumps Outbreak http://t.co/udV6Y09R Most read by neighbors in #UniversityVillage #NewYork,2
88,Love your babies? TAKE them to be  immunized. ......  Im the nurse.,2
89,People vaccinate your dirty kids...this means your grown ones going to college. Ain't nobody got time for no measles😠,2
90,"It's #science: Parents who don't #vaccinate kids compromise ""herd immunity"" &amp; threaten other kids http://t.co/t9xsyJVy #health #children #fb",2
91,Court: State can vaccinate child over mother's wishes: Maine's highest court says that the state can have a child… http://t.co/I8prLKk2oO,0
92,"Study: No link between MMR vaccine and autism
http://t.co/97F0I3NtGP
Good sample size",2
93,"Takes 14 weeks to clear measles. Measles leads to immune suppression, late  neurologic diseases, immune suppression @JohnsHopkinsSPH",0
94,"Vaccine is found to clear the body of #HIV virus - Health, News - Belfasttelegraph.co.uk http://bit.ly/ldxyEI",2
95,"Measles used to put cancer into remission
http://t.co/YxamBYEJmI
#Amazing what #science can do!!!",0
96,@RobSchneider thank you Rob for standing and spreading the word on vaccines &amp; the CDC lies. From mom of 2 Autistic vaccine injured boys.,1
97,the news is saying a measles vaccine wiped out someone's #cancer but they don't say squat about #Cannabis #CBD curing cancer #fuckthemedia,0
98,Everyone is leaving the movie some fucking parent brought their un vaccinated kid with measles into the theatre,2
99,@MannyQuinn23 I don't think you have any idea what professionalism is. STOP using autism as a scare tactic @CamoMomTX @vaccineepidemic,2
100,PSA vaccinate your little dirty ass children,2
101,"""@NatGeo: Watch: Volunteers are risking their lives to vaccinate children in areas held by ISIS http://t.co/vXFwMJE2hf""",2
102,@dandakich @Hoosier_Hoops More measles,0
103,@TerryFoster971 It's like asking would you rather have the chickenpox or the measles,0
104,@voxdotcom  measles is more contagious then ebola and the public is freeked out over ebola but won't vaccinate their kids from measled,2
105,"@leventkemaI probabalistic Political solution may be happened only when oil facility hand over to UN recognised goverment.Otherwise like create vaccine for corona, a vaccine may be made for you (sir)",0
106,Reviews of anti-vaccine children’s book are the most hilarious thing you'll read today  http://t.co/xJ4OxqeF10 via @JoBarrow @buzzfeed,2
107,“@VaxCalc: Different brands of DTaP vaccines have significant differences in their ingredients: http://t.co/AVVBmAqLVv #vaxfax”,1
108,“@iamjennifair: Radio interview w/ #TrillRadio  3-4pm http://t.co/RqiTa6LFQx Make sure you tune in! #MMR #SINS http://t.co/iHILjyhkLg,0
109,If you think vaccines cause Autism then you should not be allowed to reproduce. #NOVA,2
110,Good presentation on measles and anti-medicine movements at #NECSS,0
111,"No company or user will directly profit from #Covid19 #vaccine misinformation, thanks to these new measures.
https://t.co/zoQwyZmOb4",0
112,“@ContemPeds: Young women 13 to 21 do not engage in riskier sexual behaviors following HPV vaccination http://t.co/grNHy5Qw29”,1
113,"CCPS will be providing transportation to the Health Department on Thursday, September 11 for 7th graders that need vaccines.",2
114,Take A #Shot! #immunity #energy #beauty #digestion #brain Always here for your needs at #formula… https://t.co/DG6adUjbUp,0
115,1$Mug Noche @Madhatterdc #mmr #mixmasterrod #dcdj #mmr   @ Mad Hatter http://t.co/JYGMDEQS,0
116,jus got vaccinations for school. funny thing is I was dreading this day but them shots wasn't even tht bad.,0
117,"Good news, hope all goes well #vaccine #Pfizer #BioNTech @BorisJohnson @Number10press @10DowningStreet #UKLockdown2 #COVID19 #briefing https://t.co/uT9qOZWHIc",2
118,"Preteen Whooping Cough Vaccine Loses Strength Over Time, CDC Finds http://t.co/Uu0aoaXqX7",0
119,My 92 year old grandma had measles,0
120,"This is 100% false.  Pfizer's vaccine was not produced through any public funds or with any help from Trump's Operation Warp-Speed.

Hard to believe that Pence would lie, but there you go. https://t.co/r4Rl8BydFJ",0
121,People are dying from #vaccinations CNN interview http://t.co/oZLzUJNDlb #ChildrensEPA #autism #GB #pregnancy #pediatrics,1
122,@Holdensmum @derekcbart 70 doses of 16 vaccines and NO liability if injury occurs. How many more children will they get away with injuring?,1
123,@user It's not. They need to get back to reality. Without the vaccine in everyone. It will be around. For a lot longer. It will more likely Mutate again. Etc.,2
124,Jews brought the measles to Brooklyn,0
125,@the_Jake_Burns @kels_mill it's the measles,0
126,Oh no. RT @KTLA: 14 infants quarantined after baby at Santa Monica day care diagnosed with measles. http://t.co/tssx4Kh7eq,0
127,"y'all better watch out, the vaccine for COVID-19 is gonna be grade A croatoan virus",1
128,@NutrCareAutism @jodigomes I have a son with Asperger's. We vaccinated. I'd rather he be an aspie kid than suffer through NMR!,2
129,Tarrant County Student Immunization Information: FORT WORTH (CBSDFW&gt;COM) – School districts across North Texas... http://t.co/rHVGIvVkVh,0
130,Baby's Vaccine Day!,2
131,@joydieg @heathercarp78 @myfourladies @GovMikeDeWine But covid19 is a virus and to think that a  vaccine is going to stop people from getting covid19 makes no sense just like getting a flu shot will guarentee you from getting the flu.,1
132,@zegibbz I thought you had the measles,0
133,"#VACCINES: No one has time. For themselves or their children.
They're just too busy texting. The world will stop. If they have to stop.",1
134,"HR187 [Passed] Recognizing the week of April 18 through 25, 2015, as ""National Infant Immunization Week"" in Penns... http://t.co/7HebLZZHor",2
135,#vaccineswork #boycott Ashland Oregon #Oregon ignorant parents put all at risk,2
136,"America gets closer to a #COVID19 vaccine and its effectiveness is 90 percent.

https://t.co/L75RjmbBge",0
137,Wouldn't it be ironic and fitting if it turned out NOT vaccinating your kids caused autism? #Parenthood #parenting  @HuffPostParents,2
138,Kansas and Missouri rank in bottom half of states for MMR vaccination rates http://t.co/N2CFh8xgb1,0
139,Illinois ranks low for HPV vaccine: While public health officials have been recommending since 2006 that preteen... http://t.co/nqgbaRArEV,2
140,"MMR, they run shi .",0
141,My mama trippn bout angels vaccination bill.. um now she see y I was complaining all that time. Havn a dog is just like havn a kid,0
142,"HPV and measles serious danger that needs publicity Ebola scare came from media, not science.  -disease panel @NECSS http://t.co/Y1vk5da5pU",0
143,"Take it from @user a true expert! The same goes for infertility, autoimmune disease, neurodegeneration, cancer, or all the other unrelated conditions antivaccine groups would have you believe are caused by vaccines. #VaccinesWork #COVID19",2
144,"👍""@thedailybeast: Doctor to parents: Vaccinate your kids or GTFO http://t.co/uK0pQxsIrn http://t.co/puOxiXHr6o”",2
145,@RepMcCaul #GOP STOP blaming #Immigrants first #Ebola now #measles Which diseases?brought their ancestors? #AINF http://t.co/BjsVpnLCvK,0
146,Suspected Case of Measles at Princeton: Officials are investigating a suspected case of measles at Princeton… http://t.co/w2kFQbtceD,0
147,A different kind of MMR. Alexander training in full effect. #chubbybike http://t.co/8kSq7TBdI8,0
148,"Co. And Signed. ""@lowbeyonder: Anti-vaxx kills. There should be no religious exemption for vaccination requirements.""",2
149,"(This builds immunity against negative images, lies and stereotypes that conspire to destroy you.)",0
150,Measles now at clay.. Aren't you supposed to get vaccinated before you're allowed to go to school? #DirtySchool,2
151,"COVID-19 Vaccine 'Covaxin' Generated Excellent Safety Data, Says Bharat Biotech #CovidVaccine #COVID19 #BharatBiotech https://t.co/Fdr7z5R3tB",2
152,"http://t.co/1vpIn14TxM
Washington State has measles exposure alert.",0
153,@jwyllys I have made no statements about safety.  I asked you why you are worried about what other parents do if your kids are vaccinated.,1
154,@tamarasansbury Good deal!   We need to make sure he's as immunized as possible since he's boarding.   He's a great kid.   No worries here,0
155,"Boys can get vaccine, too. RT“@nytimes: Facing resistance, health officials want more girls to get HPV vaccinations: http://t.co/Ytc3TNo63s”",2
156,"Player in NJ bridge scandal will talk for immunity: TRENTON, N.J. (AP) - The former appointee of Gov. Chris... http://t.co/cQSk3Fo7nM",0
157,People need to know the chances of survival from the vaccine vs. the chances of survival from the actual disease.,0
158,"""@NYTimes: Vaccines Protect the Youngest Babies. flu vaccine for pregnant women, and rotavirus vaccine for infants. http://nyti.ms/iNUYKT",2
159,To the parent of an unvaccinated child who exposed my at-risk kids to measles http://t.co/NqafYvwOo2 via @motherjones @dan_bernstein,2
160,Well now there’s a big f*cking surprise....  A massive reason not to take the poisonous vaccine if #KillBillGates is anywhere near it.... https://t.co/yYaY3bBInn,1
161,@DJSPINtel So the fact that Polio rubella and all these other diseases are almost eradicated has nothing to do with vaccines?,2
162,The government and FDA can keep their vaccinations and shots. I haven't had a shot since I was a small child.,1
163,Why are people walking around without their damn MMR?! That's it I want a hazmat suit,1
164,is andrew wakefield allowed to go to disney world,0
165,fucking vaccinate your kids what the fuck,2
166,"Scary ""@MorningEdition: Disneyland Measles Outbreak Spreads to 88 Confirmed Cases; Unvaccinated Urged To Get Vaccine http://t.co/STcIOW1JrZ""",2
167,Measles is making a comeback because of irresponsible parents. Vaccinate your kids!!!,2
168,@user And you care about the guys on a team in Buffalo getting vaccinated why again? You trying to sleep with the team?,0
169,"Dr. Gov. Christie: ""Not every vaccine is created equal."" 
Measles vaccine: ""Gov. Christie should apologize for hurtful, mean remark.""",1
170,"@colinocolin the measles outbreak, I thought.",0
171,Vaccines for India! (@ Department of Public Health) http://t.co/r41dyWcs,2
172,“@DRUDGE_REPORT: #MEASLES OUTBREAK LARGEST IN 20 YEARS http://t.co/zYXZD4wGyJ”,0
173,5) KEY thing to know—mRNA based Pfizer vaccine does *not* contain the virus itself. It only encodes the “spike protein” receptor portion that latches onto human cells. Vaccines are clever immune system training programs for your body. This mRNA vaccine cannot give you #COVID19. https://t.co/zkiuUsWoK1,2
174,"""@TrunewsRadio: Religious vaccination exemptions wll completely end in Aus http://t.co/YNF5QbPLqV http://t.co/SdMG7SAn4U""
DEATH 2 ILLUMINATI",1
175,The Dow is set to surge 5% to a record as Pfizer says Covid-19 vaccine is more than 90% effective https://t.co/L6Lt8464SQ,0
176,@MelissaAFrancis Thank you Dr. Manny...thank you so much...#measles,0
177,New App for your phone @ChildrensPhila for busy parents to get reliable info about vaccines http://t.co/fKL0Ce5FF9 #parenting #vaccine,2
178,"I see these little kids freaking out about their vaccines and deep down, I feel the same",1
179,"Parenting tip: when deciding whether or not to vaccinate, google pertussis, diphtheria, epiglottitis, tetanus. Then immunize your kid, moron",2
180,“@nbcchicago: #BREAKING: Public health officials confirm a 15th measles case in Illinois http://t.co/c65I6unhcx” #immunize,0
181,Hey parents.. Get your damn kids vaccines.. Don't be a crazy moron,2
182,"No, seriously. Don't vaccinate your kids. I mean, LOOK AT HOW CUTE THESE TINY COFFINS ARE! http://t.co/43455CgkuO",2
183,Picked a group topic yesterday 4 community health :vaccines &amp; the nuts who refuse them lol. &amp; bam CNN &amp; Huffington Post does a piece. Score!,2
184,"@user Being vaccinated has changed my outlook. I feel safer, but still wear my mask when I go out.",2
185,Are you at risk?: Measles cases at highest level in 20 years: (CNN) — More people have been infected with measles... http://t.co/ODt3RqqJr1,0
186,@realDonaldTrump If Pfizer would have published its development BEFORE the elections you would have won by far. So you must live being defeated,0
187,So is Pierre banged up on air right now?? Just switched on MMR and boy oh boy lol @prestonelliot @NickMcIlwain1 @CaseyboyWMMR,0
188,"If you don't vaccinate your kids, you are a terrible parent.",2
189,"Pfizer says early analysis shows its Covid-19 vaccine is 90% effective
https://t.co/W4UovytWMZ",0
190,Family's Exposure to Measles Reveals Importance of Herd Immunity http://t.co/w2WIrPrs9I,2
191,"Dear parents, we need to talk about measles: http://t.co/iXgFE9EFsD #CDCwhistleblower",0
192,@TheRoot please Black parents immunize your children and not jump on this so called band wagon of choice not chic it's irresponsible/deadly,2
193,SB1102 [NEW] Providing immunity for providers of free or low-cost health care. https://t.co/95JEceJG6S,0
194,"smart people: i won't be caught dead taking a rushed, incomplete, dangerous vaccine. who the hell is willing to see what happens to them
me: https://t.co/yhwApI8PsQ https://t.co/zzTPIpX8R5",1
195,"My New Years wish is for Jenny McCarthy to get measles, mumps, rubella, chicken pox, diphtheria, pertussis and tetanus.",2
196,"Great news: A vaccine which can prevent nine out of 10 people getting Covid-19 is set to be put forward for emergency approval.

https://t.co/Zl1LXmhDO3

In case of any questions or if you need any assistance, please contact us via: https://t.co/BhthkRPYK4 https://t.co/HAfA618kOt",2
197,@kb On a case by case basis. MMR? All good. Menz-B and Gardasil? I'm kinda leery.,0
198,"@poconnell2 @robreiner My brother, a magat, is impressed with Trump’s handling of COVID19. This includes the vaccine.  My brother!",0
199,"Measles outbreak in Indy on Super Bowl weekend! Were you there? Check out http://www,http://t.co/oYn9JpSt [pic]: http://t.co/BiWdNEUN",0
200,"@davidjwaldo @AGGSouth @OliviaTroye @NicolleDWallace @Mike_Pence @pfizer @ChrisMurphyCT It's a guaranteed sale. Even if they didn't take money for R&D, sales pays for R&D. That wasn't my point though.  I was just pointing out that in a press release Pfizer informed investors/the public that they were part of Operation Warp Speed. Their own words.",0
201,“@SFGate: 2.) Measles-infected BART rider could have exposed thousands to disease. http://t.co/VSpCXvssMv #GateBreakers”@VinnieLevine29 well,0
202,Malaria Vaccine A Letdown For Infants. http://t.co/O4AyQtR0,0
203,"@MyNameIsDelonte No. My oldest is autistic, still vaccinated both his younger siblings, neither of which is autistic. :)",2
204,"Started #P90X tonight, this time with 100% less injury, and I'm not letting mono/hepatitis stop me this time!   #Stretching #Immunity",0
205,These States Don't Require Vaccinations For Home-School Students http://t.co/he6bpQHgZt,1
206,"Measles: once eradicated from the U.S., now present here in the NW Suburbs. Thanks anti-vaxers!",2
207,Health tech investment returns: cooling system for lifesaving vaccines in  #Ethiopia #qznextbillion @gatesfoundation http://t.co/ak4ElrF9rP,2
208,"""Love is like the measles. You only get it once. The older you are, the tougher you got. You're young so you have it light."" #movieclassics",0
209,@SaniaNishtar #Pakistan's lady #healthworker prog battle safety risks to deliver services incl #polio #vaccines. #healthworkerscount 4 #UHC,2
210,@jondaly I'm going to give Jenny McCarthy a big vax of MMR right between her eyes to fill up her pea brain...,2
211,Every year I go to school on the first day and get sick ... They should have a vaccine station before you even walk in #thoughtiwasinboca,2
212,Immunization reqirements #SHOTSSHOTSSHOTS (@ Watkins Memorial Health Center) http://t.co/9n8Ow92,0
213,"I stand with every true Englishman when I say ‘Keep your filthy Euro-immigrant vaccine out of my veins, Mr Barnier.’ https://t.co/vvrPufOaOs",1
214,"This Ekocenter creates a Hub for a @CocaCola, safe H2O, AND storage for vaccines in remote areas abroad. #BIF10 http://t.co/Xy4yyGAU3o",0
215,"@user We dont even need the vaccine, but yes, why not make it WITHOUT likes of Bill Gates involvement?",1
216,"In #Covid19vic pressers of old Dan would list the covid deaths of people in their 60s, 70s, 80s, 90s and occasional 100s, many in nursing homes. On Thursday the TGA reported that 210 people have been reported as dying after the vaccine.. NB: The TGA denied 209. #Old. #Normal. https://t.co/Wi7lkh64T7",1
217,The beauty benefits of vitamin C #energy #immunity #antiaging #glowingskin #woundhealing #health… https://t.co/BNMwU9fWSh,0
218,#NEWSINGLE #smokendrink #manymenrecords 🔥🔥🔥 @ MMR Studios http://t.co/41xP145vcF,0
219,People who choose not to vaccinate just want to see the whole world burn... Or break out in measles and shit,2
220,“@acornnyc: Today in 1954 kids received first polio vaccine #DrSalk #Innovation #PublicHealth” #Pittsburgh,0
221,SB383 [Enroll] Providing immunity from civil and criminal liability to certain health care providers for performi... https://t.co/S3vvtzaOK3,0
222,Moderna to charge $25-$37 for COVID-19 vaccine: CEO tells paper - Reuters https://t.co/RyXlnAsXdl,0
223,CDC Autism Whistleblower Admits Vaccine Study Fraud http://t.co/s1lKqFs8zZ #ireport #Autism #CDCWhistleBlower #CDC #Finally,0
224,@ppdDota they placed all u pros at high mmr but u cant handle the void/razor/es players,0
225,"A Covid-19 vaccine may cause unpleasant side effects. People should be prepared, scientists say. https://t.co/zSF72J4ury via @nbcnews",1
226,"Please vaccinate your children.

http://t.co/7IZrobkeEr",2
227,@gurleygurl @CMK27 Hopefully Rodgers is telling him to fucking vaccinate his kid.,2
228,"@BarackObama know what else is common sense? NOT bringing a disease that there is NO CURE, NO TREATMENT, NO VACCINE for WILLINGLY into USA!",0
229,(Con't) that giving children vaccines according to the recommended timetable causes other problems such as autism.  Glad that's resolved!,1
230,"@louiepoore  Flu, vaccines on public's mind after Bay Area deaths http://t.co/iHMr3XJN6s (via @NorthBayNews)",0
231,"I highly advice against this crap, please do not put your trust on these peoples """"vaccine"""" , you will realize later on that it just to control folks, lmao being serious y'all better be careful #retweet #VaccinesWork #Vaccinatie  #dontsupportvaccine #AntiVaccine https://t.co/MbldCsHpRW",1
232,"2 confirmed cases of #Measles in past week, Massachusetts.Report all cases to #Boston Public Health Commission 617-534-5611. @MeaslesRubella",0
233,"MMR booster...um, yes please?! #teacherssecretlives #firstgraderocks #universityelementaryschool… https://t.co/soSnOeQuBu",2
234,Thousands entering Calif. schools without vaccines http://t.co/1Hgzzdq1,0
235,“@Muqmeen17: #⃣MMR http://t.co/dK0nfDmR56” u cute,0
236,That coronavirus vaccine came through like a meteor.,1
237,"Fuck vaccines, just pray to god enough, that'll save you from horrible diseases and cancer",1
238,"Awaiting the onset of autism from two immunizations. In the meanwhile, a couple Diet Cokes ought to get me back int... http://t.co/uI3UhDH3",0
239,AIDS vaccine created at Oregon Health &amp; Science University may clear virus from body - http://t.co/70l2otK0WC http://t.co/ft3L5RMdOw”,2
240,Autism Scandals and Vaccines  https://t.co/Fn9VFBPRTS,1
241,“@NickTimiraos: U.S. measles cases rise 18.6% over past week http://t.co/U6kkxAIlV5 http://t.co/kBnvhqKQS1” great. Thanks #AntiVaxxer,2
242,How much more likely is #RoyalBaby to reach 5th bday than a baby born in Nigeria? #Childhealth #vaccineswork @SavetheChildren #RESULTSconf,0
243,Vaccinate your fuckin kids people!,2
244,"State, Waiting for Feds, Providing Vaccines for Child Detainees: In light of a recent surge of undocumented... http://t.co/dDEQkL1E3F",2
245,I am still talking vaccinations with customers.  Please vaccinate your kids.  It is up to each of us to be responsible for the little ones,2
246,@Morning_Joe  Yes no vaccination no school,2
247,Here's the question. Do I have to get the flu vaccine to get admitted into UofA nursing program? Or can I get an exemption.,1
248,Many parents cite lack of insurance as reason kids don't have vaccines. Keep kids healthy #ExtendCHIP,2
249,Measles... Cleveland County .... ? 😳😳😳,0
250,"""@TannersDad: Being pro Healthy Children does not warrant label ""Anti Vaccine"" #VaxTruth #CDCwhistleblower",1
